rank,mod_type,fll_bw,costas_bw,sym_bw,preamble_size,avg_ber,min_ber,avg_pdr,max_noise_tolerance,composite_score,tested_scenarios
260,QPSK,0.05,0.045,0.067,32,0.0,0.0,80.0,0.0,1798.4,1
261,BPSK,0.0628,0.095,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
262,BPSK,0.02,0.07,0.013,32,0.0,0.0,80.0,0.0,1798.4,1
263,QPSK,0.0628,0.11,0.065,32,0.0,0.0,80.0,0.0,1798.4,1
264,QPSK,0.05,0.115,0.127,32,0.0,0.0,80.0,0.0,1798.4,1
265,BPSK,0.02,0.04,0.009,32,0.0,0.0,80.0,0.0,1798.4,1
266,BPSK,0.0628,0.09,0.013,32,0.0,0.0,80.0,0.0,1798.4,1
267,QPSK,0.0314,0.075,0.071,32,0.0,0.0,80.0,0.0,1798.4,1
268,QPSK,0.05,0.12,0.069,32,0.0,0.0,80.0,0.0,1798.4,1
269,BPSK,0.05,0.06,0.005,32,0.0,0.0,80.0,0.0,1798.4,1
270,QPSK,0.02,0.065,0.035,32,0.0,0.0,80.0,0.0,1798.4,1
271,QPSK,0.0314,0.06,0.067,32,0.0,0.0,80.0,0.0,1798.4,1
272,QPSK,0.02,0.075,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
273,QPSK,0.0314,0.055,0.123,32,0.0,0.0,80.0,0.0,1798.4,1
274,QPSK,0.02,0.11,0.095,32,0.0,0.0,80.0,0.0,1798.4,1
275,QPSK,0.0628,0.06,0.135,32,0.0,0.0,80.0,0.0,1798.4,1
276,QPSK,0.0628,0.105,0.077,32,0.0,0.0,80.0,0.0,1798.4,1
277,QPSK,0.02,0.12,0.131,32,0.0,0.0,80.0,0.0,1798.4,1
278,BPSK,0.05,0.09,0.011,32,0.0,0.0,80.0,0.0,1798.4,1
279,QPSK,0.05,0.115,0.021,32,0.0,0.0,80.0,0.0,1798.4,1
280,QPSK,0.0628,0.045,0.045,32,0.0,0.0,80.0,0.0,1798.4,1
281,QPSK,0.05,0.085,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
282,QPSK,0.05,0.04,0.119,32,0.0,0.0,80.0,0.0,1798.4,1
283,QPSK,0.0314,0.03,0.137,32,0.0,0.0,80.0,0.0,1798.4,1
284,BPSK,0.02,0.105,0.049,32,0.0,0.0,80.0,0.0,1798.4,1
285,QPSK,0.05,0.12,0.033,32,0.0,0.0,80.0,0.0,1798.4,1
286,BPSK,0.05,0.065,0.021,32,0.0,0.0,80.0,0.0,1798.4,1
287,BPSK,0.02,0.07,0.059,32,0.0,0.0,80.0,0.0,1798.4,1
288,BPSK,0.05,0.1,0.057,32,0.0,0.0,80.0,0.0,1798.4,1
289,BPSK,0.02,0.045,0.049,32,0.0,0.0,80.0,0.0,1798.4,1
290,QPSK,0.02,0.115,0.099,32,0.0,0.0,80.0,0.0,1798.4,1
291,QPSK,0.0314,0.095,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
292,QPSK,0.02,0.12,0.103,32,0.0,0.0,80.0,0.0,1798.4,1
