Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
QPSK,0.0314,0.3176,0.4479,32,0.0,0.0,1.0,60.0,0.2,6,10,0.08065533638000488
BPSK,0.0314,0.4479,0.4479,32,0.0,0.0,1.0,0.0,0.5,0,10,0.0715184211730957
QPSK,0.0314,0.005,0.0832,32,0.0,0.0,1.0,10.0,0.45,1,10,0.07604479789733887
BPSK,0.0314,0.3697,0.2395,32,0.15,0.0,1.0,80.0,0.005000000000000001,8,10,0.04882526397705078
QPSK,0.0314,0.1613,0.3437,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.06066298484802246
QPSK,0.0314,0.3697,0.3697,32,0.0,0.0,1.0,80.0,0.1,8,10,0.05801701545715332
BPSK,0.0314,0.1353,0.0311,32,0.0,0.0,1.0,90.0,0.0,9,10,0.0650014877319336
BPSK,0.0314,0.0628,0.08,64,0.2,0.005,1.0,50.0,0.0125,5,10,0.08073258399963379
QPSK,0.0314,0.4479,0.4739,32,0.0,0.0,1.0,0.0,0.5,0,10,0.05386805534362793
BPSK,0.0314,0.2134,0.2916,32,0.0,0.0,1.0,60.0,0.2,6,10,0.08318638801574707
BPSK,0.0314,0.0571,0.0571,32,0.0,0.0,1.0,90.0,0.0,9,10,0.05443739891052246
BPSK,0.0314,0.1613,0.1092,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.07452273368835449
QPSK,0.0314,0.0628,0.045,48,0.1,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.08344364166259766
BPSK,0.0314,0.1613,0.3697,32,0.0,0.0,1.0,0.0,0.5,0,10,0.07204961776733398
QPSK,0.0314,0.1613,0.0311,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06712913513183594
BPSK,0.0314,0.0628,0.045,24,0.05,0.005,1.0,90.0,0.0025000000000000005,9,10,0.05883622169494629
BPSK,0.0314,0.1874,0.2134,32,0.0,0.0,1.0,80.0,0.1,8,10,0.07270026206970215
BPSK,0.0314,0.0832,0.4739,32,0.0,0.0,1.0,0.0,0.5,0,10,0.07919716835021973
QPSK,0.0314,0.1092,0.0311,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.08150100708007812
BPSK,0.0314,0.0311,0.4218,32,0.0,0.0,1.0,0.0,0.5,0,10,0.0682215690612793
BPSK,0.0314,0.0628,0.045,16,0.35,0.005,0.9995,90.0,0.0025000000000000005,9,10,0.06032586097717285
BPSK,0.0314,0.0628,0.045,16,0.1,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.06976652145385742
BPSK,0.0314,0.0628,0.045,32,0.1,0.005,1.0005,80.0,0.005000000000000001,8,10,0.05543088912963867
