Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,Platform,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.0314,0.0628,0.115,48,0.02,0.005,0.9992,software,20.0,0.020000000000000004,2,10,0.08026862144470215
QPSK,0.0314,0.0628,0.055,16,0.25,0.005,0.9999,hardware,90.0,0.0025000000000000005,9,10,0.0566713809967041
BPSK,0.1,0.03,0.025,32,0.02,0.0,1.0,software,90.0,0.0025000000000000005,9,10,0.056113243103027344
QPSK,0.0314,0.0628,0.055,16,0.05,0.005,0.9996,hardware,90.0,0.0025000000000000005,9,10,0.06381702423095703
QPSK,0.0314,0.0628,0.5,16,0.25,0.005,0.9996,software,0.0,0.025,0,10,0.0718843936920166
QPSK,0.0314,0.075,0.5,32,0.15,0.0,1.0,software,0.0,0.025,0,10,0.051482439041137695
QPSK,0.0314,0.0628,0.5,24,0.12,0.005,1.0,software,0.0,0.025,0,10,0.06093025207519531
QPSK,0.0314,0.0628,1.0,16,0.12,0.005,0.9996,software,0.0,0.025,0,10,0.05792069435119629
QPSK,0.0314,0.0628,0.025,64,0.05,0.005,0.9999,software,90.0,0.0025000000000000005,9,10,0.048583030700683594
QPSK,0.0314,0.1,0.025,32,0.02,0.03,1.0,hardware,90.0,0.0025000000000000005,9,10,0.04822278022766113
BPSK,0.0314,0.0628,0.055,16,0.12,0.005,1.0004,hardware,90.0,0.0025000000000000005,9,10,0.060172319412231445
QPSK,0.0314,0.0628,0.25,48,0.02,0.005,1.0008,hardware,80.0,0.005000000000000001,8,10,0.05687689781188965
BPSK,0.0314,0.11,0.3,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.0664069652557373
BPSK,0.0314,0.0628,1.0,32,0.35,0.005,0.9996,hardware,0.0,0.025,0,10,0.06307315826416016
QPSK,0.19,0.0628,0.025,32,0.02,-0.02,1.0,hardware,0.0,0.025,0,10,0.055902957916259766
BPSK,0.0314,0.0628,0.025,48,0.08,0.005,1.0008,hardware,80.0,0.005000000000000001,8,10,0.07423520088195801
BPSK,0.0314,0.0628,0.01,48,0.5,0.005,1.0004,hardware,50.0,0.0125,5,10,0.06999540328979492
QPSK,0.0314,0.0628,0.025,16,0.25,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.05354499816894531
QPSK,0.0314,0.0628,0.115,64,0.5,0.005,0.9996,hardware,80.0,0.005000000000000001,8,10,0.056978702545166016
QPSK,0.0314,0.0628,0.25,32,0.02,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.054636240005493164
BPSK,0.0314,0.0628,1.0,32,0.5,0.005,0.9996,software,0.0,0.025,0,10,0.061905622482299805
QPSK,0.0314,0.09,0.7,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.05919909477233887
BPSK,0.026,0.0628,0.025,32,0.02,-0.01,1.0,software,90.0,0.0025000000000000005,9,10,0.06637310981750488
QPSK,0.0314,0.0628,0.25,24,0.35,0.005,0.9999,hardware,80.0,0.005000000000000001,8,10,0.05482935905456543
